my_index;date_taken;id;link_obj
5829;1869/1900;http://www.bildindex.de/bilder/d/fm810368;http://www.bildindex.de/document/obj20269564
5830;1869/1900;http://www.bildindex.de/bilder/d/fm810369;http://www.bildindex.de/document/obj20269564
5831;1869/1900;http://www.bildindex.de/bilder/d/fm810370;http://www.bildindex.de/document/obj20269564
5832;1869/1900;http://www.bildindex.de/bilder/d/fm810371;http://www.bildindex.de/document/obj20269564
5833;1869/1900;http://www.bildindex.de/bilder/d/fm810371a;http://www.bildindex.de/document/obj20269564
5834;1869/1900;http://www.bildindex.de/bilder/d/fm810371b;http://www.bildindex.de/document/obj20269564
5873;1869/1878;http://www.bildindex.de/bilder/d/fm810409;http://www.bildindex.de/document/obj20269654
5908;1869/1900;http://www.bildindex.de/bilder/d/fm810444;http://www.bildindex.de/document/obj20269671
5932;1884/1886;http://www.bildindex.de/bilder/d/fm810469;http://www.bildindex.de/document/obj20269738
5933;1884/1886;http://www.bildindex.de/bilder/d/fm810470;http://www.bildindex.de/document/obj20269738
5934;1891/1900;http://www.bildindex.de/bilder/d/fm810470a;http://www.bildindex.de/document/obj20269738
5945;1869/1900;http://www.bildindex.de/bilder/d/fm810479;http://www.bildindex.de/document/obj20648770
5946;1869/1900;http://www.bildindex.de/bilder/d/fm810480;http://www.bildindex.de/document/obj20648770
5947;1869/1900;http://www.bildindex.de/bilder/d/fm810481;http://www.bildindex.de/document/obj20648770
5948;1869/1900;http://www.bildindex.de/bilder/d/fm810482;http://www.bildindex.de/document/obj20648770
